Código do contrato,Nome do imóvel,Nome do proprietário,Bairro,Cidade,Estado,Número de inquilinos,Nome(s) do(s) inquilino(s),Número de proprietários/beneficiários,Nomes dos proprietários/beneficíarios,Valor do aluguel,Taxa de administração do contrato,Taxa de locação do contrato,Taxa de administração é valor fixo,Taxa de locação é valor fixo,Data de início do contrato,Data do fim do contrato,Valor de venda do imóvel,Data de recisão,Contrato ativo,Número de locações do imóvel,Data do último reajuste,Contrato suspenso,Gerente comercial,Tipo de imóvel,Tipo de contrato,Tempo de contrato,Tempo para fim do contrato,Valor taxa de administração,Valor taxa de locação
484/1,"Casa No Maracanã, Rua Ponta Negra 26 ",Construtora Teste,Maracanã,Santarém,PA,1,['Guilherme Bonfim'],1,Construtora Teste,5200.0,0.0,0.0,Não,Sim,2022-04-12,2024-10-11,,,Sim,1,2022-04-12,Sim,,Casa,Residencial,514,399.0,0.0,0.0
473/2,"Apartamento Duplex No Jardim Santa Clara Do Lago I, Rua Antônio Gonzaga Dos Santos 70 ",Brunielen Gomes,Jardim Santa Clara Do Lago I,Hortolândia,SP,1,['Eva e Adão'],1,Brunielen Gomes,5000.0,8.0,5000.0,Não,Sim,2022-04-12,2024-10-11,350000.0,,Sim,2,2022-04-12,Sim,,Apartamento duplex,Residencial,514,399.0,400.0,5000.0
475/1,"Casa No Jardim Firenze, Rua José Maria Da Costa 25 ",Teste Base,Jardim Firenze,Santa Bárbara D'Oeste,SP,1,['teste mensalidade'],1,Teste Base,4322.0,10.0,0.0,Não,Sim,2022-04-13,2024-10-12,,,Sim,1,2022-04-13,Sim,,Casa,Residencial,513,400.0,432.20000000000005,0.0
479/1,"Casa No Jardim Paraíso De Viracopos, Rua Antônio Campana 555 ",Thayná Teste 1,Jardim Paraíso De Viracopos,Campinas,SP,2,"['Ademir Soares', 'Adão Santos']",3,Thayná Teste 1,1000.0,8.0,,Não,Não,2022-04-18,2024-10-17,,,Sim,1,2022-04-18,Sim,,Casa,Residencial,508,405.0,80.0,
462/2,"Apartamento No Jardim São Lourenço, Rua Doutor Coriolano Burgos 1200 ",Luis Antonio,Jardim São Lourenço,Amparo,SP,1,['Eva e Adão'],1,Luis Antonio,2000.0,0.0,0.0,Não,Sim,2022-04-22,2024-10-21,,,Sim,2,2022-04-22,Sim,,Apartamento,Residencial,504,409.0,0.0,0.0
456/3,"Casa No Vila Aurocan, Rua Michel Malsjur 35 ",Icaro Sem Conta Corrente,Vila Aurocan,Campinas,SP,1,['Eva e Adão'],1,Icaro Sem Conta Corrente,1500.0,10.0,100.0,Não,Não,2022-04-22,2024-10-21,0.0,,Sim,3,2022-04-22,Sim,,Casa,Residencial,504,409.0,150.0,1500.0
485/1,"Cobertura No Centro, Estrada Dos Bandeirantes",Gt Emprrendimentos Imobiliários,Centro,Rio De Janeiro,RJ,1,['Ademir Soares'],1,Gt Emprrendimentos Imobiliários,1000.0,10.0,0.0,Não,Sim,2022-04-22,2024-10-21,,,Sim,1,2022-04-22,Sim,,Cobertura,Residencial,504,409.0,100.0,0.0
491/1,"Casa No Chácara Santa Letícia, Rua Luiz Cereda 10 ",Fiadteste Dois,Chácara Santa Letícia,Campinas,SP,1,['Eva e Adão'],1,Fiadteste Dois,1000.0,0.0,0.0,Não,Sim,2022-04-28,2024-10-27,100000.0,,Sim,1,2022-04-28,Sim,,Casa,Residencial,498,415.0,0.0,0.0
481/1,"Casa No Jardim Paraíso De Viracopos, Rua Antônio Campana 555 ",Thayná Teste 1,Jardim Paraíso De Viracopos,Campinas,SP,1,['Eva e Adão'],3,Thayná Teste 1,1000.0,10.0,8.0,Não,Não,2022-04-28,2024-10-27,,,Sim,1,2022-04-28,Sim,,Casa,Residencial,498,415.0,100.0,80.0
198/5,"Casa No Jardim Proença I, Rua Barra Bonita 46 ",Proprietário Do Teste De Cadastro,Jardim Proença I,Campinas,SP,1,['Ademir Soares'],2,Proprietário Do Teste De Cadastro,1200.0,10.0,100.0,Não,Não,2022-04-30,2024-10-29,30000.0,,Sim,5,2022-04-30,Sim,,Casa,Residencial,496,417.0,120.0,1200.0
57/1,"Edícula No Vila Teixeira, Rua Brotas 98 ",Prefeitura,Vila Teixeira,Campinas,SP,1,['Imobiliária terceira'],1,Prefeitura,1956.0,10.0,0.0,Não,Sim,2020-10-30,2024-10-29,0.0,,Sim,1,2021-06-30,Sim,,Edícula,Residencial,1043,417.0,195.60000000000002,0.0
471/2,"Casa No Nova Descoberta, Rua Presbítero Expedito Neri 555 ",Prefeitura,Nova Descoberta,Natal,RN,1,['Alfa 1'],1,Prefeitura,973.35,10.0,0.0,Não,Sim,2022-05-01,2024-10-31,,,Sim,2,2023-05-01,Sim,,Casa,Residencial,495,419.0,97.33500000000001,0.0
561/1,"Apartamento No Santa Cruz, Beco Elias 345  Ap 102 ",Diego Petarnela,Santa Cruz,Rio De Janeiro,RJ,1,['Fernando Costa Neto'],1,Diego Petarnela,1460.03,10.0,0.0,Não,Sim,2022-05-01,2024-10-31,,,Sim,1,2023-05-01,Sim,,Apartamento,Residencial,495,419.0,146.00300000000001,0.0
uru95/1,"Apartamento No Centro, Rua Uruguaiana 95 ",Marcio 01,Centro,Rio De Janeiro,RJ,1,['GT Emprrendimentos imobiliários'],3,Marcio 01,9733.51,0.0,0.0,Não,Não,2022-05-01,2024-10-31,,,Sim,1,2023-05-01,Sim,,Apartamento,Residencial,495,419.0,0.0,0.0
uru96/1,"Casa No Centro, Rua Uruguaiana 96 ",Marcio 01,Centro,Rio De Janeiro,RJ,1,['GT Emprrendimentos imobiliários'],1,Marcio 01,9733.51,10.0,0.0,Não,Sim,2022-05-01,2024-10-31,,,Sim,1,2023-05-01,Sim,,Casa,Residencial,495,419.0,973.3510000000001,0.0
20/2,"Casa No São Jorge, Rua João Batista 20 ",Mara,São Jorge,Piracaia,SP,1,['Bruna Silva Locataria'],1,Mara,979.87,10.0,,Não,Não,2022-05-01,2024-10-31,0.0,,Sim,2,2023-05-01,Sim,,Casa,Residencial,495,419.0,97.98700000000001,
526/1,"Apartamento Triplex No Icaraí, Rua Geraldo Martins 123  Ap 502 ",Luiz Da Silva Silva,Icaraí,Niterói,RJ,1,['Fernando Costa Neto'],1,Luiz Da Silva Silva,10220.19,10.0,0.0,Não,Sim,2022-05-01,2024-10-31,0.0,,Sim,1,2023-05-01,Sim,,Apartamento triplex,Residencial,495,419.0,1022.0190000000001,0.0
495/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 99 ",Luis Antonio,Chácara Santa Letícia,Campinas,SP,1,['Adão Santos'],1,Luis Antonio,973.35,10.0,0.0,Não,Sim,2022-05-02,2024-11-01,250000.0,,Sim,1,2023-05-02,Sim,,Casa,Residencial,494,420.0,97.33500000000001,0.0
494/1,"Casa No Jardim Bom Retiro (Nova Veneza), Rua Maria Conceição Da Rocha Ferraz 118 ",Teste Competencia,Jardim Bom Retiro (Nova Veneza),Sumaré,SP,1,['Eva e Adão'],2,Teste Competencia,973.35,0.0,0.0,Não,Sim,2022-05-02,2024-11-01,0.0,,Sim,1,2023-05-02,Sim,,Casa,Residencial,494,420.0,0.0,0.0
524/1,"Chácara No Jardim Firenze, Rua José Maria Da Costa 99 ",Proprietario Cnpj 1,Jardim Firenze,Santa Bárbara D'Oeste,SP,1,['locatario juridico teste'],2,Proprietario Cnpj 1,876.02,5.0,0.0,Não,Não,2022-05-17,2024-11-16,,,Sim,1,2023-05-17,Sim,,Chácara,Residencial,479,435.0,43.801,0.0
465/4,"Casa No Vila Manoel Ferreira, Rua Michel Malsjur 200 ",Icaro Sem Conta Corrente,Vila Manoel Ferreira,Campinas,SP,1,['Eva e Adão'],2,Icaro Sem Conta Corrente,1168.02,7.0,0.0,Não,Sim,2022-05-19,2024-11-18,0.0,,Sim,4,2023-05-19,Sim,,Casa,Residencial,477,437.0,81.76140000000001,0.0
700/2,"Casa No Jardim Amoreiras, Rua Maria Luíza Missio Mingone 4555 ",Victor Lima,Jardim Amoreiras,Campinas,SP,1,['Thayná teste 13'],1,Victor Lima,1000.0,10.0,0.0,Não,Não,2022-06-01,2024-11-30,,,Sim,2,2023-06-01,Sim,,Casa,Residencial,464,449.0,100.0,0.0
364/2,"Escritório No Residencial Parque Rochele Ii, Rua Ângelo Coggo 200 ",Superteste,Residencial Parque Rochele Ii,Santa Bárbara D'Oeste,SP,1,['Adão Santos'],1,Superteste,750.0,10.0,0.0,Não,Sim,2022-06-01,2024-11-30,0.0,,Sim,2,2022-06-01,Sim,,Escritório,Residencial,464,449.0,75.0,0.0
566/1,"Conjunto No Cidade Satélite Íris, Rua Geraldo Nunes De Castro 14 ",Teste Matt Ccorrentson,Cidade Satélite Íris,Campinas,SP,1,['joao bolao'],1,Teste Matt Ccorrentson,1000.0,10.0,,Não,Não,2022-06-01,2024-11-30,,,Sim,1,2022-06-01,Sim,,Conjunto,Residencial,464,449.0,100.0,
563/1,"Apartamento No Santa Cruz, Beco Elias 345  Ap 302 ",David Gomes,Santa Cruz,Rio De Janeiro,RJ,1,['Fernando Costa Neto'],1,David Gomes,1500.0,10.0,0.0,Não,Sim,2022-06-01,2024-11-30,,,Sim,1,2022-06-01,Sim,,Apartamento,Residencial,464,449.0,150.0,0.0
492/1,"Casa No Jardim Santa Genebra, Rua Luso Ventura 70 ",Brunielen Gomes,Jardim Santa Genebra,Campinas,SP,1,['Ademir Soares'],1,Brunielen Gomes,3500.0,6.0,3500.0,Não,Sim,2021-12-01,2024-11-30,150000.0,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,449.0,210.0,3500.0
110/1,"Casa No Teste 4, Rua Teste 123 ",Frederico Barbosa,Teste 4,Campinas,SP,1,['Ademir Soares'],1,Frederico Barbosa,1773.27,10.0,100.0,Não,Não,2022-08-01,2024-11-30,0.0,,Sim,1,2021-08-01,Sim,,Casa,Residencial,403,449.0,177.327,1773.27
578/1,"Casa No Jardim Santa Vitória, Rua Luís Dumont Villares 243 ",Teste 123,Jardim Santa Vitória,Campinas,SP,1,['Locatário da DIMOB'],4,Teste 123,1000.0,10.0,0.0,Não,Sim,2022-06-03,2024-12-02,0.0,,Sim,1,2022-06-03,Sim,,Casa,Residencial,462,451.0,100.0,0.0
837/1,"Casa No Jardim Amoreiras, Rua Maria Luíza Missio Mingone 900 ",Luis Antonio,Jardim Amoreiras,Campinas,SP,1,['Alfa 1'],1,Luis Antonio,1000.0,8.0,0.0,Não,Sim,2022-06-06,2024-12-05,,,Sim,1,2023-06-01,Sim,,Casa,Residencial,459,454.0,80.0,0.0
Testes Juliano -  Não alterar/3,"Apartamento No Botafogo, Rua Falcão Filho 73  23 ",Luiz Da Silva Silva,Botafogo,Campinas,SP,1,['Adão Santos'],1,Luiz Da Silva Silva,3000.0,10.0,0.0,Não,Sim,2022-06-06,2024-12-05,0.0,,Sim,3,2022-06-06,Sim,,Apartamento,Residencial,459,454.0,300.0,0.0
542/1,"Casa No Vila Castelar, Rua Campos Sales 6663 ",Proprietário Do Teste De Cadastro,Vila Castelar,Limeira,SP,1,['Eva e Adão'],1,Proprietário Do Teste De Cadastro,30000.0,4.0,0.0,Não,Sim,2022-06-07,2024-12-06,0.0,,Sim,1,2023-06-07,Sim,,Casa,Residencial,458,455.0,1200.0,0.0
531/1,"Casa No Cecap, Avenida Paulista 200 ",Lucas Silva,Cecap,Vera Cruz,SP,1,['Adão Santos'],1,Lucas Silva,1000.0,0.0,0.0,Não,Sim,2022-06-14,2024-12-13,500000.0,,Sim,1,2022-06-14,Sim,,Casa,Residencial,451,462.0,0.0,0.0
500/2,"Cobertura No Jardim Santa Genebra, Rua José Ferreira Neto 81 ",Brunielen Gomes,Jardim Santa Genebra,Campinas,SP,1,['Ademir Soares'],1,Brunielen Gomes,9000.0,10.0,9000.0,Não,Sim,2022-06-14,2024-12-13,5500000.0,,Sim,2,2022-06-14,Sim,,Cobertura,Residencial,451,462.0,900.0,9000.0
595/1,"Casa No Comércio, Rua Santos Dumont 43 ",Teste Cheque Milena,Comércio,Salvador,BA,1,['Alexandre Santos'],1,Teste Cheque Milena,1000.0,10.0,0.0,Não,Sim,2022-06-15,2024-12-14,,,Sim,1,2022-06-15,Sim,,Casa,Residencial,450,463.0,100.0,0.0
28/3,"Casa No Jardim Dos Oliveiras, Rua Edmundo Plácido Chiavegatto 00 ",Ingrid Teste,Jardim Dos Oliveiras,Campinas,SP,1,['Alexandre Santos'],1,Ingrid Teste,1000.0,10.0,,Não,Não,2022-06-15,2024-12-14,0.0,,Sim,3,2022-06-15,Sim,,Casa,Residencial,450,463.0,100.0,
511/1,"Casa No Jardim Campo Belo, Rua Antônio Mion 444 ",Luis Antonio,Jardim Campo Belo,Limeira,SP,1,['Bruna Silva Locataria'],1,Luis Antonio,1221.0,10.0,,Não,Não,2022-06-16,2024-12-15,,,Sim,1,2022-06-16,Sim,,Casa,Residencial,449,464.0,122.10000000000001,
513/1,"Casa No Vila Manoel Ferreira, Rua Michel Malsjur 201 ",Luis Antonio,Vila Manoel Ferreira,Campinas,SP,1,['Bruna Silva Locataria'],1,Luis Antonio,1200.0,10.0,,Não,Não,2022-06-16,2024-12-15,0.0,,Sim,1,2022-06-16,Sim,,Casa,Residencial,449,464.0,120.0,
515/1,"Casa No Vila São João, Rua Naldir 2003 ",Luis Antonio,Vila São João,Queimados,RJ,1,['Bruna Silva Locataria'],1,Luis Antonio,1290.0,10.0,,Não,Não,2022-06-16,2024-12-15,0.0,,Sim,1,2022-06-16,Sim,,Casa,Residencial,449,464.0,129.0,
501/2,"Casa No Jardim São Paulo(Zona Leste), Rua Cristóvão Mendes",Rita Lee,Jardim São Paulo(Zona Leste),São Paulo,SP,1,['Alexandre Santos'],1,Rita Lee,10000.0,7.0,5.0,Não,Sim,2022-06-17,2024-12-16,,,Sim,2,2022-06-17,Sim,,Casa,Residencial,448,465.0,700.0000000000001,5.0
556/1,"Casa No Teste 1, Teste 1 11 ",Luis Antonio,Teste 1,Campinas,AC,1,['Adão Santos'],1,Luis Antonio,1090.0,10.0,0.0,Não,Sim,2022-07-01,2024-12-31,,,Sim,1,2022-07-01,Sim,,Casa,Residencial,434,480.0,109.0,0.0
611/1,"Casa No Jardim Santa Vitória, Rua Luís Dumont Villares 124 ",Santiaguito,Jardim Santa Vitória,Campinas,SP,1,['Adão Santos'],1,Santiaguito,1000.0,10.0,0.0,Não,Sim,2022-07-01,2024-12-31,,,Sim,1,2022-07-01,Sim,,Casa,Residencial,434,480.0,100.0,0.0
610/1,"Casa No Jardim Santa Vitória, Rua Luís Dumont Villares 123 ",Santiaguito,Jardim Santa Vitória,Campinas,SP,1,['Adão Santos'],1,Santiaguito,1000.0,10.0,0.0,Não,Sim,2022-07-01,2024-12-31,,,Sim,1,2022-07-01,Não,,Casa,Residencial,434,480.0,100.0,0.0
529/1,"Casa No Cecap, Avenida Paulista 500 ",Tony,Cecap,Vera Cruz,SP,1,['Adão Santos'],1,Tony,5000.0,10.0,0.0,Não,Sim,2022-07-01,2024-12-31,,,Sim,1,2022-07-01,Sim,,Casa,Residencial,434,480.0,500.0,0.0
587/2,"Apartamento No Parque Ortolândia, Avenida Santana 250  Bloco B - Ap 112 ",Seraphine,Parque Ortolândia,Hortolândia,SP,1,['Alexandre Santos'],1,Seraphine,1000.0,8.0,0.0,Não,Não,2022-07-01,2024-12-31,0.0,,Sim,2,2022-07-01,Sim,,Apartamento,Residencial,434,480.0,80.0,0.0
597/1,"Apartamento No Santa Cruz, Beco Elias 101 ",Tony Montana,Santa Cruz,Rio De Janeiro,RJ,1,['Adão Santos'],1,Tony Montana,2000.0,10.0,0.0,Não,Sim,2022-07-01,2024-12-31,,,Sim,1,2022-07-01,Sim,,Apartamento,Residencial,434,480.0,200.0,0.0
569/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 56 ",Isabel Clara Ramos,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Alexandre Santos'],3,Isabel Clara Ramos,1000.0,10.0,,Não,Não,2022-07-01,2024-12-31,,,Sim,1,2022-07-01,Sim,,Casa,Residencial,434,480.0,100.0,
Rua Movimento Jovem 187 12345678/7,"Apartamento No Jardim Turim, Rua Movimento Jovem 187  123456789785241 ",Propteste Tres,Jardim Turim,Indaiatuba,SP,1,['Locteste Seis'],1,Propteste Tres,150000.0,10.0,,Não,Não,2022-07-01,2024-12-31,0.0,,Sim,7,2022-07-01,Sim,,Apartamento,Residencial,434,480.0,15000.0,
579/1,"Casa No Jardim Nova Hortolândia I, Rua Frederico Alves Da Costa 200 ",Thiago E Carla Locações De Automóveis Me,Jardim Nova Hortolândia I,Hortolândia,SP,1,['Ademir Soares'],1,Thiago E Carla Locações De Automóveis Me,1600.0,10.0,0.0,Não,Sim,2022-07-01,2024-12-31,,,Sim,1,2022-07-01,Sim,,Casa,Residencial,434,480.0,160.0,0.0
90/1,"Casa No Swiss Park Funcionários, Rua Atílio Hercoli 123  Ap 435 ",Louise,Swiss Park Funcionários,Campinas,SP,1,['Alfa 1'],1,Louise,1330.0,10.0,,Não,Não,2022-07-01,2024-12-31,0.0,,Sim,1,2022-07-01,Sim,,Casa,Residencial,434,480.0,133.0,
572/1,"Bangalô No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 622 ",Paolo,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Alexandre Santos'],1,Paolo,1220.0,0.0,0.0,Não,Sim,2022-07-01,2024-12-31,0.0,,Sim,1,2022-07-01,Sim,,Bangalô,Residencial,434,480.0,0.0,0.0
499/2,"Conjunto No Jardim Santo Antônio, Rua Antônio Fernandes Leite",Luis Antonio,Jardim Santo Antônio,Hortolândia,SP,1,['Alfa 1'],1,Luis Antonio,8000.0,10.0,0.0,Não,Sim,2022-07-01,2024-12-31,0.0,,Sim,2,2022-07-01,Sim,,Conjunto,Residencial,434,480.0,800.0,0.0
2703/2,"Casa No Parque Residencial Salerno (Nova Veneza), Rua Poços De Caldas",Daniel Leal,Parque Residencial Salerno (Nova Veneza),Campinas,SP,1,['Blue Ivy'],1,Daniel Leal,2000.0,10.0,2000.0,Não,Sim,2022-07-01,2024-12-31,0.0,,Sim,2,2021-07-01,Sim,,Casa,Residencial,434,480.0,200.0,2000.0
112/1,"Casa No Jardim Turim, Rua Movimento Jovem 800 ",Alicia Keys,Jardim Turim,Indaiatuba,SP,1,['Blue Ivy'],1,Alicia Keys,200.0,0.0,0.0,Não,Sim,2021-01-13,2024-12-31,0.0,,Sim,1,2021-06-01,Sim,,Casa,Residencial,968,480.0,0.0,0.0
507/1,"Casa No Jardim Petrópolis, Rua Joaquim Vieira 315 ",Thayná Teste 1,Jardim Petrópolis,Campinas,SP,1,['Adão Santos'],2,Thayná Teste 1,1000.0,8.0,0.0,Não,Não,2022-07-04,2025-01-03,0.0,,Sim,1,2022-07-04,Sim,,Casa,Residencial,431,483.0,80.0,0.0
12/1,"Casa No Parque Florely (Nova Veneza), Rua Fioravante Chinelatto 113 ",Rodrigo Barros,Parque Florely (Nova Veneza),Americana,SP,1,['Imobiliária terceira'],1,Rodrigo Barros,1451.75,10.0,0.0,Não,Sim,2020-02-05,2025-01-04,0.0,,Sim,1,2023-02-05,Sim,,Casa,Residencial,1311,484.0,145.175,0.0
684/1,"Apartamento No Loteamento Country Ville, Rua Doutor José Almeida Carvalho 19 ",Jorge Amado,Loteamento Country Ville,Campinas,SP,1,['Alexandre Santos'],2,Jorge Amado,1000.0,10.0,,Não,Não,2022-07-06,2025-01-05,0.0,,Sim,1,2022-07-06,Sim,,Apartamento,Residencial,429,485.0,100.0,
493/2,"Casa No Jardim Morada Do Sol, Rua João Walsh Costa 321 ",Imobestrela - Teste,Jardim Morada Do Sol,Indaiatuba,SP,1,['Adão Santos'],1,Imobestrela - Teste,2000.0,10.0,0.0,Não,Sim,2022-07-06,2025-01-05,,,Sim,2,2022-07-06,Sim,,Casa,Residencial,429,485.0,200.0,0.0
565/1,"Casa No Jardim Dara, Rua João Pires Martins 33 ",Luis Antonio,Jardim Dara,Itapecerica Da Serra,SP,1,['Adão Santos'],2,Luis Antonio,222.0,8.0,0.0,Não,Sim,2022-07-11,2025-01-10,,,Sim,1,2022-07-11,Sim,,Casa,Residencial,424,490.0,17.76,0.0
362/5,"Casa No Jardim Dos Oliveiras, Rua Tupã",Rede Vistoriass,Jardim Dos Oliveiras,Campinas,SP,1,['Adão Santos'],1,Rede Vistoriass,2000.0,10.0,0.0,Não,Sim,2022-07-15,2025-01-14,,,Sim,5,2022-07-15,Sim,,Casa,Residencial,420,494.0,200.0,0.0
365/1,"Apartamento No Jardim Santiago (Nova Veneza), Rua Sete 620 ",Joana Dark,Jardim Santiago (Nova Veneza),Sumaré,SP,1,['Ademir Soares'],1,Joana Dark,1535.0,12.0,0.0,Não,Sim,2022-01-15,2025-01-14,,,Sim,1,2022-01-15,Sim,,Apartamento,Residencial,601,494.0,184.2,0.0
52/1,"Casa No Vila Teixeira, Rua Joaquim Vilac 125  Fundos ",Luisiana Araujo,Vila Teixeira,Campinas,SP,1,['prefeitura'],1,Luisiana Araujo,900.0,10.0,0.0,Não,Sim,2020-07-18,2025-01-17,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,1147,497.0,90.0,0.0
506/1,"Casa No Chácara Santa Letícia, Rua Santa Letícia 111 ",Luis Antonio,Chácara Santa Letícia,Campinas,SP,1,['Adão Santos'],1,Luis Antonio,1000.0,0.0,0.0,Não,Sim,2022-07-26,2025-01-25,150000.0,,Sim,1,2022-07-26,Sim,,Casa,Residencial,409,505.0,0.0,0.0
575/1,"Casa No Jardim Capuavinha, Rua Ana Cândida Barreto Haddad 30 ",Thayná Topper,Jardim Capuavinha,Monte Mor,SP,2,"['Adão Santos', 'Brunaum do imob']",1,Thayná Topper,16000.0,10.0,0.0,Não,Não,2022-07-28,2025-01-27,,,Sim,1,2022-07-28,Sim,,Casa,Residencial,407,507.0,1600.0,0.0
gt97/1,"Apartamento No Dxfgvf, Resgdxf 97 ",Gt Emprrendimentos Imobiliários,Dxfgvf,Piracaia,SP,1,['Adão Santos'],1,Gt Emprrendimentos Imobiliários,100.0,10.0,10.0,Não,Sim,2022-08-01,2025-01-31,0.0,,Sim,1,2022-08-01,Sim,,Apartamento,Residencial,403,511.0,10.0,10.0
583/1,"Casa No Centro, Rua Lourenço Taques 1317 ",Sônia Stefany Da Conceição,Centro,Ouroeste,SP,1,['Adão Santos'],1,Sônia Stefany Da Conceição,1110.0,0.0,0.0,Não,Sim,2022-08-01,2025-01-31,800000.0,,Sim,1,2022-08-01,Sim,,Casa,Residencial,403,511.0,0.0,0.0
619/1,"Casa No Jardim Cristina, Rua Igaci 52 ",Lucas,Jardim Cristina,Campinas,SP,1,['Tiny Turner'],3,Lucas,1000.0,10.0,0.0,Não,Não,2022-08-01,2025-01-31,0.0,,Sim,1,2022-08-01,Sim,,Casa,Residencial,403,511.0,100.0,0.0
536/1,"Casa No Jardim Morada Do Sol, Rua João Walsh Costa 321 ",Imobestrela - Teste,Jardim Morada Do Sol,Indaiatuba,SP,1,['Alexandre Santos'],1,Imobestrela - Teste,1000.0,10.0,0.0,Não,Sim,2022-08-01,2025-01-31,0.0,,Sim,1,2022-08-01,Sim,,Casa,Residencial,403,511.0,100.0,0.0
534/1,"Casa No Parque Das Dunas (Abrantes), Rodovia Ba-099 - Estrada Do Côco 04  Teste ",Elizabeth Alves Silveira,Parque Das Dunas (Abrantes),Camaçari,BA,1,['Alfa 1'],1,Elizabeth Alves Silveira,5000.0,10.0,100.0,Não,Não,2022-08-01,2025-01-31,,,Suspenso,1,2022-08-01,Não,,Casa,Residencial,403,511.0,500.0,5000.0
516/1,"Casa No Jardim Campo Belo, Rua Antônio Mion 44 ",Fiadteste Dois,Jardim Campo Belo,Limeira,SP,1,['Adão Santos'],1,Fiadteste Dois,2000.0,12.0,0.0,Não,Sim,2022-08-01,2025-01-31,,,Sim,1,2022-08-01,Sim,,Casa,Residencial,403,511.0,240.0,0.0
591/1,"Sala Comercial No Carvoeira, Rua Capitão Romualdo De Barros 997  Ap ",Joana Dark,Carvoeira,Florianópolis,SC,1,['Adão Santos'],1,Joana Dark,20000.0,10.0,0.0,Não,Sim,2022-08-01,2025-01-31,,,Sim,1,2022-08-01,Sim,,Sala comercial,Comercial,403,511.0,2000.0,0.0
448/2,"Casa Em Condomínio No Jardim Ester, Rua Brasiliano Barcelos 22 ",Teste Filipe 2,Jardim Ester,São Paulo,SP,1,['Adão Santos'],5,Teste Filipe 2,1224.0,10.0,0.0,Não,Sim,2022-08-01,2025-01-31,0.0,,Sim,2,2023-08-23,Sim,,Casa em condomínio,Residencial,403,511.0,122.4,0.0
498/2,"Conjunto No Vila Costa E Silva, Estrada Dos Bandeirantes",Gt Emprrendimentos Imobiliários,Vila Costa E Silva,Rio De Janeiro,RJ,1,['Ademir Soares'],2,Gt Emprrendimentos Imobiliários,850.0,8.0,0.0,Não,Sim,2022-08-01,2025-01-31,0.0,,Sim,2,2023-08-01,Sim,,Conjunto,Residencial,403,511.0,68.0,0.0
401/2,"Casa No Dasdfsagwrew, Faafdasdadsfas",Santiaguito,Dasdfsagwrew,Rwerwesdgfdfds,SP,1,['Adão Santos'],1,Santiaguito,1000.0,10.0,0.0,Não,Sim,2022-08-03,2025-02-02,,,Sim,2,2022-08-03,Sim,,Casa,Residencial,401,513.0,100.0,0.0
144/5,"Loja No Jardim Primavera, Rua Fernando Costa 546 ",Santiaguito,Jardim Primavera,Campinas,SP,1,['Adão Santos'],1,Santiaguito,5158.88,6.0,0.0,Não,Sim,2022-08-03,2025-02-02,0.0,,Sim,5,2023-08-03,Sim,,Loja,Residencial,401,513.0,309.5328,0.0
uru92/1,"Casa No Centro, Rua Uruguaiana 92 ",Marcio 01,Centro,Rio De Janeiro,RJ,1,['Adão Santos'],3,Marcio 01,10000.0,0.0,0.0,Não,Sim,2022-08-04,2025-02-03,,,Sim,1,2022-08-04,Sim,,Casa,Residencial,400,514.0,0.0,0.0
489/2,"Casa No Jardim Bom Retiro (Nova Veneza), Praça Lauro Lázaro Garcia 36 ",Teste - Fundo De Reserva,Jardim Bom Retiro (Nova Veneza),Sumaré,SP,1,['Adão Santos'],1,Teste - Fundo De Reserva,1000.0,0.0,0.0,Não,Sim,2022-08-04,2025-02-03,,,Sim,2,2022-08-04,Sim,,Casa,Residencial,400,514.0,0.0,0.0
581/1,"Casa No Parque Florely (Nova Veneza), Rua Joaquim Teixeira 6233 ",810.803.187-71,Parque Florely (Nova Veneza),Sumaré,SP,1,['Ademir Soares'],1,810.803.187-71,1500.0,10.0,0.0,Não,Sim,2022-08-09,2025-02-08,,,Sim,1,2022-08-09,Sim,,Casa,Residencial,395,519.0,150.0,0.0
580/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 980 ",Ricardo Erick Sales,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Juan Samuel Lucas Moraes'],2,Ricardo Erick Sales,2100.0,15.0,0.0,Não,Sim,2022-08-09,2025-02-08,,,Sim,1,2023-08-21,Sim,,Casa,Residencial,395,519.0,315.0,0.0
395/2,"Casa No Centro, Avenida Sete De Setembro 678 ",Nathan Vinicius Jorge Corte Real,Centro,Sumaré,SP,2,"['Ademir Soares', 'Alfa 1']",1,Nathan Vinicius Jorge Corte Real,6000.0,10.0,0.0,Não,Sim,2022-08-10,2025-02-09,,,Sim,2,2022-08-10,Sim,,Casa,Residencial,394,520.0,600.0,0.0
509/2,"Casa No Vila São João, Rua Naldir 123 ",Luis Antonio,Vila São João,Queimados,RJ,1,['Adão Santos'],1,Luis Antonio,1000.0,10.0,0.0,Não,Sim,2022-08-10,2025-02-09,0.0,,Sim,2,2022-08-10,Sim,,Casa,Residencial,394,520.0,100.0,0.0
